,buyprice,buytime,date,pnl,pos,quantity,sellprice,selltime,sl,target,type
156,278.15,09:15:00,2020-12-29,-47.336742730647074,closed,100.0,277.6766325726935,10:40:00,277.6766325726935,280.31014213808913,buy
157,276.5284926288766,12:55:00,2020-12-29,-62.84926288766428,closed,100.0,275.9,12:25:00,276.5284926288766,274.4941449026214,sell
158,277.85,13:05:00,2020-12-29,-60.86705791873328,closed,100.0,277.2413294208127,14:20:00,277.2413294208127,279.6505769261829,buy
159,278.3999375318227,09:15:00,2020-12-30,-339.99375318226726,closed,100.0,275.0,09:15:00,278.3999375318227,271.6000624681773,sell
160,275.63171181478964,10:55:00,2020-12-30,-173.17118147896622,closed,100.0,273.9,09:20:00,275.63171181478964,270.9075562213596,sell
161,276.45,13:40:00,2020-12-30,-14.67174189736511,closed,100.0,276.30328258102634,15:20:00,276.30328258102634,277.72709661652095,buy
162,273.2068187014113,09:15:00,2020-12-31,119.31812985886836,closed,100.0,274.4,09:15:00,275.59318129858866,273.2068187014113,sell
163,275.0201158242229,12:30:00,2020-12-31,2.9884175777112887,closed,100.0,275.05,10:50:00,275.0201158242229,273.2263705363155,sell
164,276.25,14:05:00,2020-12-31,-128.0945299462644,closed,100.0,274.96905470053736,14:15:00,274.96905470053736,277.53094529946264,buy
165,276.35,09:15:00,2021-01-01,217.4302829704459,closed,100.0,278.5243028297045,11:45:00,277.0864404850307,278.5243028297045,buy
166,278.25,11:50:00,2021-01-01,68.31281821947641,closed,100.0,278.93312818219476,12:25:00,277.56687181780524,278.93312818219476,buy
167,278.9,12:30:00,2021-01-01,-77.45071249953526,closed,100.0,278.1254928750046,13:40:00,278.1254928750046,279.7006278041617,buy
168,279.45,14:10:00,2021-01-01,-61.08118309493307,closed,100.0,278.83918816905066,15:00:00,278.83918816905066,280.42476769252994,buy
169,282.2,09:15:00,2021-01-04,-13.3081297540798,closed,100.0,282.0669187024592,10:45:00,282.0669187024592,284.0914144640751,buy
170,279.09093732461514,11:05:00,2021-01-04,170.9062675384871,closed,100.0,280.8,10:55:00,281.53065640784644,279.09093732461514,sell
171,279.3449092329383,11:10:00,2021-01-04,65.50907670617221,closed,100.0,280.0,11:10:00,280.6550907670617,279.3449092329383,sell
