,buyprice,buytime,date,pnl,quantity,sellprice,selltime,sl,type
352,501.65,15:15:00,2021-10-21,-325.0,100.0,498.4,09:33:00,506.45,sell
353,507.2,10:52:00,2021-10-22,-280.00000000000114,100.0,504.4,09:32:00,507.2,sell
354,507.2,11:09:00,2021-10-22,-280.00000000000114,100.0,504.4,11:31:00,504.4,buy
355,503.0,15:15:00,2021-10-22,139.99999999999773,100.0,504.4,11:32:00,507.2,sell
356,508.0,10:48:00,2021-10-25,-500.0,100.0,503.0,09:31:00,508.0,sell
357,508.0,10:49:00,2021-10-25,-214.99999999999773,100.0,505.85,15:15:00,503.0,buy
358,513.5,09:30:00,2021-10-26,-135.00000000000227,100.0,512.15,15:15:00,507.75,buy
359,516.8,09:36:00,2021-10-27,240.0000000000091,100.0,519.2,15:15:00,512.75,buy
360,501.75,15:15:00,2021-10-28,844.9999999999989,100.0,510.2,09:30:00,520.45,sell
361,498.15,09:41:00,2021-10-29,410.0000000000023,100.0,502.25,15:15:00,488.75,buy
362,508.5,10:53:00,2021-11-01,725.0,100.0,515.75,15:15:00,501.45,buy
363,521.95,11:58:00,2021-11-02,-745.0000000000045,100.0,514.5,09:55:00,521.95,sell
364,521.95,11:59:00,2021-11-02,29.999999999995453,100.0,522.25,15:15:00,514.5,buy
365,526.4,09:33:00,2021-11-03,-419.9999999999932,100.0,522.2,11:35:00,522.2,buy
366,526.4,13:45:00,2021-11-03,-419.9999999999932,100.0,522.2,11:44:00,526.4,sell
367,526.4,13:46:00,2021-11-03,-79.99999999999545,100.0,525.6,15:15:00,522.2,buy
368,523.5,15:15:00,2021-11-08,264.9999999999977,100.0,526.15,09:30:00,534.4,sell
369,525.8,09:38:00,2021-11-09,300.0,100.0,528.8,15:15:00,522.65,buy
370,526.35,09:30:00,2021-11-10,-455.0000000000068,100.0,521.8,09:45:00,521.8,buy
371,526.35,11:38:00,2021-11-10,-230.00000000000682,100.0,524.05,15:15:00,521.8,buy
372,509.05,15:15:00,2021-11-11,1069.9999999999989,100.0,519.75,09:30:00,522.75,sell
373,512.6,14:43:00,2021-11-12,-310.0000000000023,100.0,509.5,09:42:00,512.6,sell
374,512.6,14:44:00,2021-11-12,-175.0,100.0,510.85,15:15:00,509.5,buy
375,506.5,15:15:00,2021-11-15,604.9999999999955,100.0,512.55,09:37:00,515.9,sell
376,495.5,15:15:00,2021-11-16,850.0,100.0,504.0,09:38:00,506.55,sell
377,497.55,09:30:00,2021-11-17,64.99999999999773,100.0,498.2,15:15:00,491.0,buy
378,504.45,13:25:00,2021-11-18,-564.9999999999977,100.0,498.8,10:10:00,504.45,sell
379,504.45,14:57:00,2021-11-18,-119.99999999999886,100.0,503.25,15:15:00,498.8,buy
380,486.35,15:15:00,2021-11-22,1094.9999999999989,100.0,497.3,10:27:00,505.85,sell
